name,category,is_veg,meal_time,spicy_level,price_range
String Hoppers,Main Meals,TRUE,Breakfast/Dinner,None,Low
Plain Hoppers,Main Meals,TRUE,Breakfast/Dinner,None,Low
Egg Hoppers,Main Meals,FALSE,Breakfast/Dinner,Low,Low
Pittu,Main Meals,TRUE,Breakfast,None,Low
Kiribath,Main Meals,TRUE,Breakfast,Low,Low
Kadala (Chickpeas),Main Meals,TRUE,Breakfast,Low,Low
Boiled Manioc,Main Meals,TRUE,Breakfast,None,Low
Boiled Sweet Potatoes,Main Meals,TRUE,Breakfast,None,Low
Dosa,Main Meals,TRUE,Breakfast/Dinner,None,Low
Pol Roti,Main Meals,TRUE,Breakfast/Dinner,None,Low
Kurakkan Roti,Main Meals,TRUE,Breakfast/Dinner,None,Low
Egg Roti,Main Meals,FALSE,Breakfast/Dinner,Low,Low
Vegetable Roti,Main Meals,TRUE,Breakfast/Dinner,Medium,Low
Paratha,Main Meals,TRUE,Breakfast/Dinner,None,Low
Puri,Main Meals,TRUE,Breakfast/Dinner,None,Low
Idli,Main Meals,TRUE,Breakfast/Dinner,None,Low
Naan,Main Meals,TRUE,Breakfast/Dinner,None,Low
Godamba Roti,Main Meals,TRUE,Breakfast/Dinner,None,Low
Chicken Roll,Short Eats,FALSE,Any,Medium,Low
Fish Roll,Short Eats,FALSE,Any,Medium,Low
Egg Roll,Short Eats,FALSE,Any,Medium,Low
Samosa,Short Eats,FALSE,Any,Medium,Low
Bread,Short Eats,TRUE,Any,None,Low
Roast Pan,Short Eats,TRUE,Any,None,Low
Sandwiches,Short Eats,TRUE,Any,Low,Low
Chicken Bun,Short Eats,FALSE,Any,Medium,Low
Fish Bun (Malu Pan),Short Eats,FALSE,Any,Medium,Low
Sausage Bun,Short Eats,FALSE,Any,Medium,Low
Egg Bun,Short Eats,FALSE,Any,Medium,Low
Seeni Sambol Bun,Short Eats,TRUE,Any,Medium,Low
Kimbula Bun,Short Eats,TRUE,Any,None,Low
Fish Patties,Short Eats,FALSE,Any,Medium,Low
Chicken Patties,Short Eats,FALSE,Any,Medium,Low
Ulundhu Vadai,Short Eats,TRUE,Any,Low,Low
Parippu vada,Short Eats,TRUE,Any,Low,Low
Kola Kenda,Short Eats,TRUE,Breakfast,None,Low
Vegetable Soup,Soups,TRUE,Any,Low,Medium
Chicken Soup,Soups,FALSE,Any,Low,Medium
Pork Soup,Soups,FALSE,Any,Low,Medium
Beef Soup,Soups,FALSE,Any,Low,Medium
Mutton Soup,Soups,FALSE,Any,Low,Medium
Vegetable Noodles,Main Meals,TRUE,Any,Medium,Medium
Egg Noodles,Main Meals,FALSE,Any,Medium,Medium
Chicken Noodles,Main Meals,FALSE,Any,Medium,Medium
Mixed Seafood Noodles,Main Meals,FALSE,Any,Medium,High
Lunumiris,Sauces & Sides,TRUE,Any,High,Low
Seeni Sambol,Sauces & Sides,TRUE,Any,Medium,Low
