id,source,source_label,source_weight,credibility_tier,title,content,content_word_count,is_scam,scam_type,scam_type_normalised,risk_level,risk_label,sentiment_score,location_name,district,latitude,longitude,url,helpful_votes,demographic_target,created_at,data_quality_flag
1,google_news,Google News RSS,0.55,Tier-2 Aggregator,"US, Israel issue Sri Lanka attack alert after 'terrorist' threat against tourists - ABC News - Breaking News, Latest News and Videos","US, Israel issue Sri Lanka attack alert after 'terrorist' threat against tourists - ABC News - Breaking News, Latest News and Videos. US, Israel issue Sri Lanka attack alert after 'terrorist' threat against tourists &nbsp;&nbsp; ABC News - Breaking News, Latest News and Videos",42,0,Safety Advisory,Safety Advisory (Non-Incident),1,Low,0.0,Sri Lanka,,,,https://news.google.com/rss/articles/CBMioAFBVV95cUxNZlExQTMxeERFRkRDV1hmcTBLQ2ZBQU5HMjdaQV82SnNqeVdaOFpsWFNiNzBKY0VMZTNYbVpSeGFENFNaWmV6TTFZYnJUcFRMTFliaExYaWo5QURucEpXUEdwQTd6YXFwN0Q2YWRzb1E1cWFlYlk0NWNvLTNQQnM2S3o4alVja1hmbWFhelMtdEtaSmJFZlVGUGRJd0RHQURY0gGmAUFVX3lxTE9oTktJQ2xqVWdOVXpUOXBGeGtsRC11WTgyVmw3ZVB1ZHpTMTNQTHl5d3JpaDdvZjNZRllvOFFOMllyS3VWMVJwM0lHdUlpbDg2aHRKZnJZdTRPWUtxTDdXNDh3VGdQeThxSGc2TjFWQVd4bHhNQTJsclgxWWtHWnpJdmQ0WWZzUDJ5b29kX0tvVThOdmpmRnB3Z3JrMDBnWXZ5dzhzNWc?oc=5,0,Tourists,2026-08-06 04:07:13,MEDIUM
2,google_news,Google News RSS,0.55,Tier-2 Aggregator,"Security Alert: Avoid Travel to Arugam Bay Due to Credible Threat (October 23, 2024) - U.S. Embassy in Sri Lanka (.gov)","Security Alert: Avoid Travel to Arugam Bay Due to Credible Threat (October 23, 2024) - U.S. Embassy in Sri Lanka (.gov). Security Alert: Avoid Travel to Arugam Bay Due to Credible Threat (October 23, 2024) &nbsp;&nbsp; U.S. Embassy in Sri Lanka (.gov)",44,0,,General Safety Incident,1,Low,0.0,Arugam Bay,Monaragala,6.8399,81.8325,https://news.google.com/rss/articles/CBMilAFBVV95cUxPel9TTVlucml5bXB0MS1zdURGRkZlZWJlQjV1WTV4cTFCVGZWYmxiMFVRV0Z3OFBqZFpxdDVZU0d6ZzlqaWZTaGF2Z21nbDduNUpZY1FMcTRDNUk2MDk1Ui13UC03TkRFT2hybUMwekVaNzZHQXB2V25yb3VvWTJ2ZktTclI5NVBxTkE3SVhzbmRFTWxa?oc=5,0,Tourists,2026-08-06 04:07:18,MEDIUM
3,google_news,Google News RSS,0.55,Tier-2 Aggregator,Fake tourist police trio arrested for allegedly kidnapping Brazilian in Sri Lanka - Newswire,Fake tourist police trio arrested for allegedly kidnapping Brazilian in Sri Lanka - Newswire. Fake tourist police trio arrested for allegedly kidnapping Brazilian in Sri Lanka &nbsp;&nbsp; Newswire,28,0,,General Safety Incident,1,Low,0.0,Sri Lanka,,,,https://news.google.com/rss/articles/CBMiuAFBVV95cUxOck5zSmRfalNGY3FiUmNDZmJ3amoxaVZieXZiQWg0Ty1hdXh6Mk1EVmg3ZkcwTm5wamo1azFnTlBrSzZKN09TQXNCY3h4eG0xTXRCaElvZXdCb1o2bkxDTF9WUnNSNldWbUUxdUlQbjQ4RFRLTElqdjEzc2hUWVdSbWsyeFhubWRTOF9sdWdEdXNmZVJOeTBwQnVkS3BWWExTS0dVTFhrRXo0VkJmV1ROYVVmc0Q5Q3Ry?oc=5,0,Tourists,2026-08-06 04:07:21,LOW
4,google_news,Google News RSS,0.55,Tier-2 Aggregator,"Drunk Sri Lankan police assault tourists in Jaffna, three hospitalised - tamilguardian.com","Drunk Sri Lankan police assault tourists in Jaffna, three hospitalised - tamilguardian.com. Drunk Sri Lankan police assault tourists in Jaffna, three hospitalised &nbsp;&nbsp; tamilguardian.com",26,1,Physical Assault,Physical Assault,3,High,-0.7288,Jaffna,Jaffna,9.6615,80.0255,https://news.google.com/rss/articles/CBMiswFBVV95cUxNUU1lUmZ2UkFzdXE5UV9SZUJ5bktNRjdNZnRneTdKR1JMa0duS2NNaDdBRWxPTVAxOTE1QnFMTlY0d2k5ZXB2V1ZoOWhoc2xLMU10SWZHdEIzaTVHdnZBWGdOei1XU09RbXI3NEFCWG82YlQxTHFJZkpSMm5JZ3RJc2h1elMzbVd2U0prVXRkTEJ5YkR3VHZLOF9KMm1kd0dZME43c1VEUGxHbFBKdnYxbU5OZw?oc=5,0,Tourists,2026-08-06 04:07:22,MEDIUM
5,google_news,Google News RSS,0.55,Tier-2 Aggregator,"Sri Lanka’s deadly roads claim 1,800 lives in 2025, threatening tourism industry - tamilguardian.com","Sri Lanka’s deadly roads claim 1,800 lives in 2025, threatening tourism industry - tamilguardian.com. Sri Lanka’s deadly roads claim 1,800 lives in 2025, threatening tourism industry &nbsp;&nbsp; tamilguardian.com",34,0,,General Safety Incident,1,Low,0.0,Sri Lanka,,,,https://news.google.com/rss/articles/CBMisgFBVV95cUxObVlWVE51T19rdjB0OVlSRkh5NkFWcHFJcnRnQjdBWFlWbDlSYUdiTlJLakVRSEZVSEZBeUxXbzhHSV9ScDcwaU9PZDVzREtTX250TjBYaDB4a24tUGw4WloxV2JJLW5ubUdpUlZkMW9TSGJNUXpwT3FsWHl1UGhTVzhrYmhLMDRWclp3aXRRUUw4S3o3NklFbjUxRzRNNFI5bmRxQS12MDVpOElubTBqbjhR?oc=5,0,Tourists,2026-08-06 04:07:25,LOW
6,google_news,Google News RSS,0.55,Tier-2 Aggregator,Israeli tourist injured in Arugam Bay robbery - tamilguardian.com,Israeli tourist injured in Arugam Bay robbery - tamilguardian.com. Israeli tourist injured in Arugam Bay robbery &nbsp;&nbsp; tamilguardian.com,20,1,Accident / Hazard,Accident / Hazard,3,High,-0.7426,Arugam Bay,Monaragala,6.8399,81.8325,https://news.google.com/rss/articles/CBMihwFBVV95cUxNZU5sRmFla0t2NmhuUHdBYVF0Y1gtblhGWDJ2WThoUnVpbjJDNFlIcjVtbmp6emU2THJ2Z080WjhVNVRyZ1k3MU5GYy1QZUkxQ0sxOWQxTHJzem43LWFBeS1ST1J5RTZrX09GQzZZQ2pYby1WVHB2a0x3NDdYbEJScHNCdFEwWkk?oc=5,0,Tourists,2026-08-06 04:07:25,MEDIUM
7,google_news,Google News RSS,0.55,Tier-2 Aggregator,Gemstone shop manager arrested for selling fake gems to tourists - Daily Mirror - Sri Lanka,Gemstone shop manager arrested for selling fake gems to tourists - Daily Mirror - Sri Lanka. Gemstone shop manager arrested for selling fake gems to tourists &nbsp;&nbsp; Daily Mirror - Sri Lanka,30,1,Gem Scam,Gem / Jewellery Scam,3,High,-0.7373,Sri Lanka,,,,https://news.google.com/rss/articles/CBMivwFBVV95cUxPTFNkSXRSVjVWTmJJN0dNTDUyTG1MVDhMbk81enoxd1F3NmtSWE9JUGF4Nm4wSDE2bHAyOU9Pc1U0Sm9kSEExU0dHTW4ycnBSWnNKUmxYVWVHNTIwWE83bE4yN1FfdUQ5U2dlUlQtRkNXOXVNNWxlMmNpbzlxSkV5QWpaWVZaQnhVcFhSbXd0WjZxMVlKaUFDbnpLQ2RGcVBhZUdOblFuSmRfWnNNcndzWW9UVlZNeTQxZ2NiOUZSdw?oc=5,0,Tourists,2026-08-06 04:07:25,MEDIUM
8,google_news,Google News RSS,0.55,Tier-2 Aggregator,Kiwi Solo Traveller Shares Update After Harassment By Sri Lankan Man: 'Lot Of Victim-Blaming' - NDTV,Kiwi Solo Traveller Shares Update After Harassment By Sri Lankan Man: 'Lot Of Victim-Blaming' - NDTV. Kiwi Solo Traveller Shares Update After Harassment By Sri Lankan Man: 'Lot Of Victim-Blaming' &nbsp;&nbsp; NDTV,34,1,Harassment,Harassment / Assault,2,Moderate,0.0,Sri Lanka,,,,https://news.google.com/rss/articles/CBMiygFBVV95cUxON1gyN01odWxob2tLeE1kaVUxay01bktKVm1Rd2xuYmRsYTgyQ0IzVE84bmlnZDJNN0l4eUhhOXBZZWFEV25BdjRVV3pRb0VWUGRtODFLVGZEMmZOM0xzRmxERW1pdnR5TVZTZXlRQ1B5cW5xdVMyZ1lPYnMyNzRDUVVTd1luREp6dHk2N0ptcEcyNUZGbF9zSXJfRHRqNzZLTV8yLWNXWi1IV25lVUpwVWI3YktUcXNNUDNsMkNyRDBmcklseUljY0ZR0gHSAUFVX3lxTFBlS242cnV5d3NTTC1qV0QtR3F5aUVQN0ZyZU9sSmQ3Z0Q5cTBiWFAwVkVrYUFycXRCNTUtcnlCWW53Z1NRLTlQVEtGYlRyZ1VvcDdMWHdxZmVSM1ByTUNrMWJJUDJIWXBjaklNeGJVU3ZlRHVYMVlXUVh0SVllRWhtS0hhMTI1eEFCZlg5X0hZRU5CT3AxTG9Kb05jcjNiNGNoUHlPUHRVN2g5bTJ0Y2NZZGY2eG1qd3FqdEpOZnQzODNOMTU1eUdrcmpSTVBFUVJNZw?oc=5,0,Tourists,2026-08-06 04:07:28,MEDIUM
9,google_news,Google News RSS,0.55,Tier-2 Aggregator,Man arrested after video of tourist harassment goes viral - Daily Mirror - Sri Lanka,Man arrested after video of tourist harassment goes viral - Daily Mirror - Sri Lanka. Man arrested after video of tourist harassment goes viral &nbsp;&nbsp; Daily Mirror - Sri Lanka,28,1,Harassment,Harassment / Assault,2,Moderate,-0.6593,Sri Lanka,,,,https://news.google.com/rss/articles/CBMirgFBVV95cUxQVXEzcmtHUzZ5TDJTUFEwQUMzbHQzMER2QjNFRHR2NnZsS1J5ZFJSUFAxaGVMTGlFamNBY1FibDZGaGQwY2dDUFJ0WmhrSDhOZlczdG9WbzFHWXp5QmtRZVlBVnFmNTNKT0IwdktiOGFuOFRhS1FfbnR6T1pCV0tWNVlHSDdBOFNBTHc2Q1Zac2pGbzBGdlNsU2dmZWJqQkFTMWc0TS01T2VPVXpfaHc?oc=5,0,Tourists,2026-08-06 04:07:31,MEDIUM
10,google_news,Google News RSS,0.55,Tier-2 Aggregator,Harassment of female tourists in Sri Lanka sparks online uproar and two arrests - tamilguardian.com,Harassment of female tourists in Sri Lanka sparks online uproar and two arrests - tamilguardian.com. Harassment of female tourists in Sri Lanka sparks online uproar and two arrests &nbsp;&nbsp; tamilguardian.com,32,1,Harassment,Harassment / Assault,2,Moderate,-0.6905,Sri Lanka,,,,https://news.google.com/rss/articles/CBMisAFBVV95cUxONHhRZHJhWDNnZG96ZFJJQW5IWEQtTzMweURNTk1JNXRrUzExcy1rVTNVbkk4a29DejZEaDRhMDFjdTdLV21fNW1JSjdiTnFvaGxIU280VkZaeVFkT0lQRTByMFRsSjA2T0dlb3NBNUpnQ1h0b0ZPdzFVMUpfMUFQbkdlcmc0VjdDeUJCdkREczhkaGxqZWhxMkl1ZEVSa0FOVVJVamRyNjVpLW5SNFYzcg?oc=5,0,Tourists,2026-08-06 04:07:33,MEDIUM
