destination,district,lat,lon,osm_type,display_name,licence
Horton Plains National Park,Nuwara Eliya,6.8067144,80.8021297,national_park,"Horton Plains National Park, Nuwara Eliya, Nuwara Eliya District, Central Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Riverston,Matale,7.5237457,80.7370801,isolated_dwelling,"Riverston, Midlands, Matale District, Central Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Moon plains,Nuwara Eliya,6.9504901,80.8067974,grassland,"Moon Plains, Sandatenna, Nuwara Eliya, Nuwara Eliya District, Central Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Bambarakiri ella,Matale,7.4955285,80.6990816,viewpoint,"Bambarakiri Ella, Matale-Illukkumbura-Pallegama Road, Madakumbura, Rattota, Matale District, Central Province, 21400, Sri Lanka","OpenStreetMap contributors, ODbL"
Mirissa Beach,Matara,5.9431556,80.4618001,beach,"Mirissa Beach, Mirissa, Matara District, Southern Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Nalanda gedige,Matale,7.6697429,80.645926,place_of_worship,"Nalanda Gedige, Nalanda Gedige Road, Alugolla, Nalanda, Matale District, Central Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Ridiyagama Safari Park,Hambantota,6.2411634,80.9768525,park,"Ridiyagama Safari Park, Mahapelessa, Hambantota District, Southern Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Pinnawala Elephant Orphanage,Kegalle,7.300512,80.3871935,zoo,"Pinnawala Elephant Orphanage, Karandupana-Rambukkana Road, Pinnawala, Kegalle District, Sabaragamuwa Province, 71100, Sri Lanka","OpenStreetMap contributors, ODbL"
Diyaluma Falls,Badulla,6.733071,81.031448,waterfall,"Diyaluma Falls, Diyaluma, Badulla District, Uva Province, 90190, Sri Lanka","OpenStreetMap contributors, ODbL"
Laxapana waterfall,Nuwara Eliya,6.899106,80.5009038,waterfall,"Laxapana Falls, Kiriwan Eliya, Nuwara Eliya District, Central Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Bundala National Park,Hambantota,6.2098551,81.2251772,wood,"Bundala National Park, Andella, Hambantota District, Southern Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Royal Botanical Gardens,Kandy,7.2706509,80.5963395,garden,"Royal Botanical Gardens, Kendakaduwa, Gannoruwa, Kandy District, Central Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Polonnaruwa,Polonnaruwa,7.9395357,81.0003387,city,"Polonnaruwa, Polonnaruwa District, North Central Province, 51000, Sri Lanka","OpenStreetMap contributors, ODbL"
Wilpattu National Park,Anuradhapura,8.3070655,80.1488189,office,"Wilpattu National Park Office, Wilpattu Sanctuary Road, Hunuwilagama, Anuradhapura District, North Central Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Bopath Falls,Ratnapura,6.8006004,80.3666596,attraction,"Bopath Falls, Higgashena-Devipahala Road, Keeragala, Ratnapura District, Sabaragamuwa Province, 70550, Sri Lanka","OpenStreetMap contributors, ODbL"
Sigiriya Museum,Matale,7.9569719,80.751573,museum,"Sigiriya Museum, Talkotta Road, Sigiriya, Matale District, Central Province, 21121, Sri Lanka","OpenStreetMap contributors, ODbL"
Ceylon Tea Museum,Kandy,7.2686376,80.6326564,museum,"Ceylon Tea Museum, Hanthana Road, Deiyannewela, Suduhumpola, Hanthana, Kandy, Kandy District, Central Province, 85129, Sri Lanka","OpenStreetMap contributors, ODbL"
