media_id,kind,title,url,source_name,published,snippet,destination,district,aspects,match_method,collected_at
m_6071ddc4ad5589,youtube,Horton Plains National Park | Sri Lanka,https://www.youtube.com/watch?v=bEQQ_GkfaYc,Aegle Creations,2024-01-29,"Located in the central highlands of Sri Lanka, Horton Plains National Park is one of the most beautiful national parks in the country ...",Horton Plains National Park,Nuwara Eliya,scenery,full_name,2026-08-25
m_44289d28c940eb,youtube,Horton Plains National Park | World’s End | Sri Lanka 🇱🇰,https://www.youtube.com/watch?v=QfccLnGZd6w,Nicole & Ryan,2022-03-12,"In this video, I'll be taking you through my journey of visiting my favorite hike in Sri Lanka! From the vast different terrains, stunning ...",Horton Plains National Park,Nuwara Eliya,roads_access|scenery,full_name,2026-08-25
m_096de02a3de772,youtube,Horton Plains National Park | Part 1,https://www.youtube.com/watch?v=LM911bmHzI4,Aegle Creations,2024-04-16,First part of a documentary series focusing on the history and ecology of Horton Plains National Park in Sri Lanka. This part is ...,Horton Plains National Park,Nuwara Eliya,,full_name,2026-08-25
m_17eefb9e431170,youtube,"Horton Plains National Park, Srí Lanka 4K",https://www.youtube.com/watch?v=5AD5NEPlz5g,Votocek Art Company,2018-05-20,Horton Plains National Park is a protected area in the central highlands of Sri Lanka and is covered by montane grassland and ...,Horton Plains National Park,Nuwara Eliya,,full_name,2026-08-25
m_6a39d479072cb8,youtube,"Riverston, Matale ❤️🍃 #srilanka #travel #relaxing #riverston #matale #beautifulnature #upcountry",https://www.youtube.com/watch?v=NtMl3Ck_aUI,Enviro Trails,2023-12-09,,Riverston,Matale,,full_name,2026-08-25
m_7774e33c37eb68,youtube,Riverston Sri Lanka🍃:( Everything You Need to Know Before You Go),https://www.youtube.com/watch?v=69nv5UqNg2g,LAKIYA Vlog,2026-07-13,"Mist, Mountains & Magic: Exploring Riverston, Sri Lanka! Have you ever been to a place so beautiful it completely takes your ...",Riverston,Matale,scenery,full_name,2026-08-25
m_2b612cf464af19,youtube,Must visit places in Riverston (Matale)  #riverston #srilanka #traveldestinations,https://www.youtube.com/watch?v=j7PpVnMky8w,Things I Know,2024-07-12,,Riverston,Matale,,full_name,2026-08-25
m_dac25fae98bd06,youtube,Riverston – Sri Lanka’s Hidden Cloud Kingdom #hiddensrilanka  #RiverstonVibes,https://www.youtube.com/watch?v=NQeWonloAhI,Visit Srilanka,2025-08-12,"Riverston Sri Lanka | Hidden Mountain Paradise | Cloud Forest & Mini World's End Welcome to Riverston, one of Sri Lanka's ...",Riverston,Matale,scenery,full_name,2026-08-25
m_3d047766247533,youtube,Riverston Sri Lanka Travel | Matale | Haritha Gaweshaka #vlog #nature #travel #viduranga,https://www.youtube.com/watch?v=YVJY3GUzTL0,Haritha Gaweshaka හරිත ගවේශක,2025-07-30,"හායි යාලුවනේ ❤️   , Riverston Sri Lanka Travel | Matale | රිවස්ටන් | Haritha Gaweshaka #vlog #nature ...",Riverston,Matale,scenery,full_name,2026-08-25
m_5371f2773dc839,youtube,Moon plains | සඳතැන්න | ලංකාවේ උසම කඳු 9 ක් බලාගන්න පුලුවන් 360° view point එක,https://www.youtube.com/watch?v=7eVX6FqbkHQ,TRAVEL LENS,2025-09-26,"Moon Plains – Nuwara Eliya Moon Plains, locally known as Sandatanne or Sandagalatanne, is one of Nuwara Eliya's more recent ...",Moon plains,Nuwara Eliya,scenery,full_name,2026-08-25
