district,destination,aspect,aspect_label,n_negative,n_positive,n_neutral,n_opinions,complaint_rate,confidence,destination_reviews
Ampara,Arugam Bay,cleanliness,Cleanliness,14,24,11,38,0.368,ok,153
Ampara,Arugam Bay,crowd,Crowding & Noise,11,26,21,37,0.297,ok,153
Ampara,Arugam Bay,facilities,Facilities,28,98,41,126,0.222,ok,153
Ampara,Arugam Bay,price_value,Price & Value,35,32,20,67,0.522,ok,153
Ampara,Arugam Bay,roads_access,Roads & Access,25,35,41,60,0.417,ok,153
Ampara,Arugam Bay,safety,Safety,10,4,10,14,0.714,low,153
Ampara,Arugam Bay,scenery,Scenery & Nature,4,91,6,95,0.042,ok,153
Ampara,Kumana National Park,crowd,Crowding & Noise,0,6,2,6,0.0,low,33
Ampara,Kumana National Park,facilities,Facilities,3,8,8,11,0.273,low,33
Ampara,Kumana National Park,price_value,Price & Value,1,4,9,5,0.2,low,33
Ampara,Kumana National Park,roads_access,Roads & Access,6,13,16,19,0.316,ok,33
Ampara,Kumana National Park,scenery,Scenery & Nature,1,36,7,37,0.027,ok,33
Ampara,Maruthamunai beach,crowd,Crowding & Noise,0,5,0,5,0.0,low,27
Ampara,Maruthamunai beach,scenery,Scenery & Nature,0,18,0,18,0.0,ok,27
Anuradhapura,Abhayagiri Dagaba,crowd,Crowding & Noise,1,11,3,12,0.083,low,48
Anuradhapura,Abhayagiri Dagaba,facilities,Facilities,4,3,6,7,0.571,low,48
Anuradhapura,Abhayagiri Dagaba,price_value,Price & Value,7,2,5,9,0.778,low,48
Anuradhapura,Abhayagiri Dagaba,roads_access,Roads & Access,3,4,15,7,0.429,low,48
Anuradhapura,Abhayagiri Dagaba,scenery,Scenery & Nature,1,28,1,29,0.034,ok,48
Anuradhapura,Dagoba of Thuparama,crowd,Crowding & Noise,0,6,2,6,0.0,low,35
Anuradhapura,Dagoba of Thuparama,price_value,Price & Value,4,1,8,5,0.8,low,35
Anuradhapura,Dagoba of Thuparama,roads_access,Roads & Access,2,3,5,5,0.4,low,35
Anuradhapura,Dagoba of Thuparama,scenery,Scenery & Nature,1,18,4,19,0.053,ok,35
Anuradhapura,Dambulla Cave Temple,cleanliness,Cleanliness,3,11,5,14,0.214,low,289
Anuradhapura,Dambulla Cave Temple,crowd,Crowding & Noise,4,22,14,26,0.154,ok,289
Anuradhapura,Dambulla Cave Temple,facilities,Facilities,28,42,82,70,0.4,ok,289
Anuradhapura,Dambulla Cave Temple,price_value,Price & Value,26,14,63,40,0.65,ok,289
Anuradhapura,Dambulla Cave Temple,roads_access,Roads & Access,34,124,182,158,0.215,ok,289
Anuradhapura,Dambulla Cave Temple,safety,Safety,15,5,20,20,0.75,ok,289
Anuradhapura,Dambulla Cave Temple,scenery,Scenery & Nature,6,214,15,220,0.027,ok,289
Anuradhapura,Isurumuniya Temple,cleanliness,Cleanliness,2,3,3,5,0.4,low,125
Anuradhapura,Isurumuniya Temple,crowd,Crowding & Noise,3,16,11,19,0.158,ok,125
Anuradhapura,Isurumuniya Temple,facilities,Facilities,7,9,19,16,0.438,ok,125
Anuradhapura,Isurumuniya Temple,price_value,Price & Value,5,7,34,12,0.417,low,125
Anuradhapura,Isurumuniya Temple,roads_access,Roads & Access,6,33,44,39,0.154,ok,125
Anuradhapura,Isurumuniya Temple,safety,Safety,5,0,3,5,1.0,low,125
Anuradhapura,Isurumuniya Temple,scenery,Scenery & Nature,3,90,13,93,0.032,ok,125
Anuradhapura,Jaya Sri Maha Bodhi,cleanliness,Cleanliness,7,1,0,8,0.875,low,134
Anuradhapura,Jaya Sri Maha Bodhi,crowd,Crowding & Noise,5,43,25,48,0.104,ok,134
Anuradhapura,Jaya Sri Maha Bodhi,facilities,Facilities,9,13,25,22,0.409,ok,134
